waterbody,Litoria_olongburensis_A,Crinia_tinnula_A,Litoria_olongburensis_O,Crinia_tinnula_O,pH,salinity,turbidity,depth,percent_cover,predatory_fish
wb1,5,0,1,0,4,68.79,3.325,16,81.15,11
wb2,5,0,1,0,4.1,25.14,3.675,14,39.5,9
wb3,3,0,1,0,5,79.48,4.475,275,13.8,9
wb4,0,0,0,0,3.65,6.6,25.3,24.5,18.25,20
wb5,0,5,0,1,3.75,93.35,0,12,99.8,54
wb6,0,0,0,0,3.3,10.17,16.45,13.5,82.85,64
wb7,0,9,0,1,3.6,107.99,11.75,6,36.25,0
wb8,4,4,1,1,4.3,81.69,12.325,7.5,93.05,53
wb9,0,1,0,1,3.5,22.37,6.35,17,2.05,31
wb10,0,0,0,0,4,78.45,35.55,23,18.25,43
wb11,0,0,0,0,3.8,103.28,19.25,17,28.15,66
wb12,9,0,1,0,3.9,37.7,33,21,96.25,42
wb13,0,0,0,0,3.65,96.28,6.525,35,34.85,64
wb14,4,0,1,0,3.3,81.15,32.875,30,51,29
wb15,3,0,1,0,4.6,51.92,34.725,23,80.15,17
wb16,0,0,0,0,3.1,78.86,9.875,7,46,29
wb17,5,0,1,0,3.4,95.99,18.225,8,94.7,26
wb18,0,0,0,0,4.5,19.52,1.85,33,99.3,32
wb19,0,5,0,1,4.8,65,36.875,20,1.8,54
wb20,0,6,0,1,3.45,53.13,21.85,16.5,1.25,47
wb21,6,0,1,0,4.3,92.95,15.9,28,27.4,45
wb22,0,5,0,1,3.6,6.05,21.9,13,15.35,43
wb23,0,4,0,1,4.75,57.46,11.95,34,12.6,4
wb24,0,0,0,0,3.75,42.61,5.75,8,29.6,1
wb25,0,0,0,0,3.3,89.13,28.8,11,55.65,21
wb26,0,0,0,0,3.7,30.82,7.95,29,30.25,24
wb27,0,0,0,0,3.5,50.42,20.45,17,91.2,57
wb28,0,3,0,1,4.3,18.09,20.075,10,49.55,51
wb29,0,0,0,0,3.65,26.65,0.8,26,39.65,52
wb30,1,0,1,0,5,49.84,1.725,9,83.25,44
wb31,0,3,0,1,3.4,65.75,31.925,7,96.3,60
wb32,0,0,0,0,3.65,37.83,16.625,7,27.9,58
wb33,5,0,1,0,4,26.55,9.675,37,44.55,57
wb34,0,5,0,1,4.7,95.48,23.875,17,3,53
wb35,0,0,0,0,3,104.8,24.825,5,25.2,35
wb36,0,0,0,0,4.9,71.47,11.75,17,37,56
wb37,0,0,0,0,3.9,77.67,13.175,30,79.55,38
